,id,question,company,answer
0,1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,湖南长远锂科股份有限公司,"能否根据给定材料回答问题：能
答案：湖南长远锂科股份有限公司变更设立时的发起人包括长沙矿冶院和金瑞科技。"
1,6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,云南沃森生物技术股份有限公司,"能
云南沃森生物技术股份有限公司负责产品研发的是研发部门。"
2,10,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的多少股份？占公司总股份的多少？,大连派思燃气系统股份有限公司,"能否根据给定材料回答问题：能
答案：截止到2023年4月20日，大连派思燃气系统股份有限公司的控股股东Energas Ltd.持有公司股份57,908,800股，占公司总股本的30.81%。"
3,13,近三年，广东银禧科技股份有限公司总资产周转率分别为多少？,广东银禧科技股份有限公司,"能否根据给定材料回答问题：能
答案：根据给定材料，公司近三年的总资产周转率分别为1.17次/年、1.41次/年、1.68次/年。"
4,15,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有哪些较强的竞争优势？,云南沃森生物技术股份有限公司,"能
云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有如下较强的竞争优势：
(1) 内毒素含量低，每剂不超过200EU，内毒素含量远低于中国药典流脑多糖疫苗标准，从而保证了疫苗临床使用的高安全性；
(."
5,16,根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率是多少？,联化科技股份有限公司,不能根据给定材料回答问题。
6,17,各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为多少万元？占流动资产的比例分别多少？,江苏旷达汽车织物集团股份有限公司,"能否根据给定材料回答问题: 可以
答案：各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为：2007年6910.69万元，占流动资产的比例为22.22%；2008年10944.48万元，占流动资产的比例为20.71%；2009年14056.49万元，占流动资产的比例为22.20%；2010年上半年末为10579.58万元，占流动资产的比例为20.06%。"
7,21,华瑞电器股份有限公司获得多少项国内专利？其中有多上项发明专利？,华瑞电器股份有限公司,"能否根据给定材料回答问题：能
答案：华瑞电器股份有限公司获得58项国内专利，其中13项发明专利。"
8,24,深圳信立泰药业股份有限公司注射用头孢西丁钠（信希汀、1.0克装）在2006 年、2007 年、2008 年、2009 年1-6 月的最高零售价格分别为多少？,深圳信立泰药业股份有限公司,"能否根据给定材料回答问题：能
答案：2006年、2007年、2008年、2009年1-6月深圳信立泰药业股份有限公司注射用头孢西丁钠（信希汀、1.0克装）的最高零售价格分别为28.8元、28.8元、28.8元、28.8元。"
9,33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,武汉兴图新科电子股份有限公司,"能
答案：报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是89.40%、90.43%、91.10%。"
10,34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,武汉兴图新科电子股份有限公司,"能否根据给定材料回答问题：能
答案：电子信息行业的上游涉及电子元器件、芯片、显示屏、存储器等企业。"
11,39,在2008年，东莞勤上光电股份有限公司在景观亮化半导体照明领域的市场占有率为多少？,东莞勤上光电股份有限公司,不能根据给定材料回答问题。
12,40,湖南南岭民用爆破器材股份有限公司的控股股东是谁？,湖南南岭民用爆破器材股份有限公司,"能否根据给定材料回答问题：能
答案：湖南省南岭化工厂是湖南南岭民用爆破器材股份有限公司的控股股东。"
13,41,在研发方面，上海真兰仪表科技股份有限公司利用哪三地的人才优势，成立研发中心，组建了“三位一体”的研发体系？,上海真兰仪表科技股份有限公司,"能
上海真兰仪表科技股份有限公司利用上海、深圳、西安三地的人才优势，成立研发中心，组建了“三位一体”的研发体系。"
14,44,常熟风范电力设备股份有限公司的机器设备成新率是多少？,常熟风范电力设备股份有限公司,"能
根据上述材料可知，常熟风范电力设备股份有限公司的机器设备成新率为94.86%。"
15,45,2009年、2010年及2011年，海南双成药业股份有限公司销售费用分别为多少？,海南双成药业股份有限公司,"能否根据给定材料回答问题：能
答案：2009年、2010年及2011年，海南双成药业股份有限公司销售费用分别为7,922.59万元、4,898.80万元和4,904.97万元。"
16,46,内蒙古君正能源化工股份有限公司的法定代表人是谁？,内蒙古君正能源化工股份有限公司,"能否根据给定材料回答问题：能
答案：内蒙古君正能源化工股份有限公司的法定代表人是杜江涛。"
17,47,联化科技股份有限公司的主营业务包括哪两部分？,联化科技股份有限公司,"能
根据给定材料，联化科技股份有限公司的主营业务包括化工农药中间体以及医药中间体两大类。"
18,49,读者出版传媒股份有限公司的主要纸张供应商有哪些？,读者出版传媒股份有限公司,"根据以上材料，可以回答问题。答案如下：
读者出版传媒股份有限公司的主要纸张供应商包括中国纸业投资有限公司、诚通国际贸易有限公司、岳阳林纸股份有限公司、山东太阳纸业股份有限公司、APP金光纸业（中国）有限公司、芬欧汇川（常熟）纸业有限公司、浙江景兴纸业股份有限公司、山鹰国际控股(中国)有限公司、中冶美利云产业投资股份有限公司、河南新乡华瑞纸业有限公司等企业。"
19,50,2014年大连派思燃气系统股份有限公司经营业绩下降的主要原因是什么？,大连派思燃气系统股份有限公司,"能否根据给定材料回答问题: 是
答案： 2014年大连派思燃气系统股份有限公司的经营业绩出现下降，主要是由于公司燃气应用系统(模块和管系产品)的毛利率存在下降的风险，进而对公司经营业绩产生了不利影响。此外，公司销售的增压站设备(配压缩机)也需要外购压缩机，而压缩机的单价较高，因此配装压缩机的增压站销售合同会对公司的财务数据产生较大的影响，也可能导致公司业绩波动。同时，募投项目的实施也存在一定的风险，如果行业技术发展、市场前景等方面出现重大变化，或项目组织实施不力，都可能影响投资项目的顺利实施，导致项目实施后产生的经济效益与公司的预测存在差异。"
20,51,2005年、2006年和2007年，宁波立立电子股份有限公司所获政府补助计入当期损益的金额分别占当年利润总额的比例是多少？,宁波立立电子股份有限公司,"能否根据给定材料回答问题：能
2005年、2006年和2007年，宁波立立电子股份有限公司所获政府补助计入当期损益的金额分别占当年利润总额的比例是：27.27%,23.08%,20.08%"
21,59,森赫电梯股份有限公司的主营业务是什么？,森赫电梯股份有限公司,"能否根据给定材料回答问题: 是
答案：森赫电梯股份有限公司的主营业务是电梯制造及安装。"
22,60,多晶硅成本约占宁波立立电子股份有限公司2007年度产品原材料成本的多大比例？,宁波立立电子股份有限公司,"能否根据给定材料回答问题：能
答案：多晶硅成本约占宁波立立电子股份有限公司2007年度产品原材料成本的80%。"
