,id,question,formatted_answer
38,61,请查询：在20191129，属于申万二级仪器仪表行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,很抱歉，我无法识别您提供的答案。请提供正确的答案，我将为您生成完整的答案句。
39,62,易方达基金管理有限公司2019年成立了多少基金?,易方达基金管理有限公司在2019年成立了57只基金。
40,63,嘉实基金管理有限公司管理的债券型产品的数量有多少?,嘉实基金管理有限公司管理的债券型产品的数量为36个。
41,64,我想知道股票002720在申万行业分类下的二级行业是什么？用最新的数据。,股票002720在申万行业分类下的二级行业是纺织制造。
42,65,请帮我查询在截止2021-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,在截止2021-03-31的基金定期报告中，没有基金的总赎回份额为零。
43,66,我想知道股票600508在申万行业分类下的二级行业是什么？用最新的数据。,股票600508在申万行业分类下的二级行业是煤炭开采。
44,68,我想知道2020年的年度报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,根据2020年的年度报告，有2757只基金的机构投资者持有的份额占比超过30%。总体而言，这些机构投资者共持有了3628928232101.72元的资金。
45,70,博时基金管理有限公司管理的股票型产品的数量有多少?,博时基金管理有限公司管理的股票型产品的数量为16。
46,71,20211207日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,20211207日，成交金额最大的前三家上市公司的股票代码分别是300750。
47,74,请帮我查询下股票代码为300873的股票在2021年内最高日收盘价是多少？,股票代码为300873的股票在2021年内的最高日收盘价是53.76。
48,75,请帮我计算，代码为000798的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,抱歉，我无法计算股票的年化收益率，因为我是一个语言组织的AI，没有实时股票数据。
49,76,"在20210630的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?",在20210630的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓中，持有最大仓位的债券类型是金融债券。
50,77,请查询：在20190510，属于申万二级餐饮行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,很抱歉，我无法识别您提供的答案。请提供正确的答案，我将为您生成完整的答案句。
51,78,中国铁路通信信号股份有限公司提供轨道交通控制系统全产业链上的产品及服务，主要业务包括哪些？,中国铁路通信信号股份有限公司提供轨道交通控制系统全产业链上的产品及服务，主要业务包括信号设备、通信设备、电源设备、自动化控制系统、综合监控系统、数据通信系统、车站自动售票系统、列车调度系统、运行控制系统、维修保障系统等。
