,id,question,company
0,1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,湖南长远锂科股份有限公司
1,6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,云南沃森生物技术股份有限公司
2,10,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的多少股份？占公司总股份的多少？,大连派思燃气系统股份有限公司
3,13,近三年，广东银禧科技股份有限公司总资产周转率分别为多少？,广东银禧科技股份有限公司
4,15,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有哪些较强的竞争优势？,云南沃森生物技术股份有限公司
5,16,根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率是多少？,联化科技股份有限公司
6,17,各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为多少万元？占流动资产的比例分别多少？,江苏旷达汽车织物集团股份有限公司
7,21,华瑞电器股份有限公司获得多少项国内专利？其中有多上项发明专利？,华瑞电器股份有限公司
8,24,深圳信立泰药业股份有限公司注射用头孢西丁钠（信希汀、1.0克装）在2006 年、2007 年、2008 年、2009 年1-6 月的最高零售价格分别为多少？,深圳信立泰药业股份有限公司
9,33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,武汉兴图新科电子股份有限公司
10,34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,武汉兴图新科电子股份有限公司
11,39,在2008年，东莞勤上光电股份有限公司在景观亮化半导体照明领域的市场占有率为多少？,东莞勤上光电股份有限公司
12,40,湖南南岭民用爆破器材股份有限公司的控股股东是谁？,湖南南岭民用爆破器材股份有限公司
13,41,在研发方面，上海真兰仪表科技股份有限公司利用哪三地的人才优势，成立研发中心，组建了“三位一体”的研发体系？,上海真兰仪表科技股份有限公司
14,44,常熟风范电力设备股份有限公司的机器设备成新率是多少？,常熟风范电力设备股份有限公司
15,45,2009年、2010年及2011年，海南双成药业股份有限公司销售费用分别为多少？,海南双成药业股份有限公司
16,46,内蒙古君正能源化工股份有限公司的法定代表人是谁？,内蒙古君正能源化工股份有限公司
17,47,联化科技股份有限公司的主营业务包括哪两部分？,联化科技股份有限公司
18,49,读者出版传媒股份有限公司的主要纸张供应商有哪些？,读者出版传媒股份有限公司
19,50,2014年大连派思燃气系统股份有限公司经营业绩下降的主要原因是什么？,大连派思燃气系统股份有限公司
20,51,2005年、2006年和2007年，宁波立立电子股份有限公司所获政府补助计入当期损益的金额分别占当年利润总额的比例是多少？,宁波立立电子股份有限公司
21,59,森赫电梯股份有限公司的主营业务是什么？,森赫电梯股份有限公司
22,60,多晶硅成本约占宁波立立电子股份有限公司2007年度产品原材料成本的多大比例？,宁波立立电子股份有限公司
23,67,森赫电梯股份有限公司是否有技术创新方面的认定称号？是什么？,森赫电梯股份有限公司
24,69,珠海健帆生物科技股份有限公司的哪些产品被认定为广东省高新技术产品？,珠海健帆生物科技股份有限公司
25,72,深圳信立泰药业股份有限公司专门的研发机构信立泰技术中心工作人员中，多大比例的人员为本科以上学历？,深圳信立泰药业股份有限公司
26,73,新疆浩源天然气股份有限公司2012 年1-6 月的营业毛利为多少，综合毛利率为多少？,新疆浩源天然气股份有限公司
27,81,报告期内确成硅化学股份有限公司 _出口退税率为多少？,确成硅化学股份有限公司
28,84,除浙江双飞无油轴承股份有限公司外，具有规模的自润滑轴承生产企业还有哪些？,浙江双飞无油轴承股份有限公司
29,85,深圳信立泰药业股份有限公司主营业务是什么？,深圳信立泰药业股份有限公司
30,88,湖南南岭民用爆破器材股份有限公司的传统市场是哪里？,湖南南岭民用爆破器材股份有限公司
31,93,根据华瑞电器股份有限公司招股意见书，截至2016年12月31日，宁波胜克总资产为多少万元？,华瑞电器股份有限公司
32,94,近三年，广东银禧科技股份有限公司存货周转率分别是多少？,广东银禧科技股份有限公司
33,95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,武汉兴图新科电子股份有限公司
34,96,西安启源机电装备股份有限公司的核心产品铁芯剪切设备的收入比重从2007年度和2009年度分别为多少？,西安启源机电装备股份有限公司
35,97,报告期内，湖南国科微电子股份有限公司2014年度、2015年度、2016年度营业收入和净利润分别较上年增长多大幅度？,湖南国科微电子股份有限公司
36,105,昇兴集团股份有限公司本次发行的拟上市证券交易所是？,昇兴集团股份有限公司
37,106,2015年度和2016年度，深圳市超频三科技股份有限公司净利润分别同比增长多少？,深圳市超频三科技股份有限公司
38,112,上海真兰仪表科技股份有限公司实际持有的罗德精密的初始工商登记发起人有哪些？,上海真兰仪表科技股份有限公司
39,113,华瑞电器股份有限公司，宁波胜克2016年度实现净利润为多少万元？,华瑞电器股份有限公司
40,121,在2010年，东莞勤上光电股份有限公司在户外半导体照明领域的市场占有率为多少？,东莞勤上光电股份有限公司
41,125,报告期内，汉嘉设计集团股份有限公司期末应收账款相对较高的原因是什么？,汉嘉设计集团股份有限公司
42,126,上海真兰仪表科技股份有限公司2020年增资后的投后估值是多少？,上海真兰仪表科技股份有限公司
