,id,question,formatted_answer
241,381,我想知道国泰金鹿混合在2020年Q1的季报中，该基金的第2大重仓股的代码是什么?,国泰金鹿混合在2020年Q1的季报中，该基金的第2大重仓股的代码是601668。
242,383,"请帮我查询在2019年,富荣基金管理有限公司成立哪种类型的基金个数最多?",在2019年，富荣基金管理有限公司成立的股票型基金个数最多为4个。
243,384,博时基金管理有限公司2019年成立了多少基金?,博时基金管理有限公司2019年成立了43只基金。
244,386,在2021年10月15日，使用中信行业分类标准，股票代码000828是属于哪个一级行业的?,股票代码000828在2021年10月15日使用中信行业分类标准属于交通运输一级行业。
245,387,我想知道华安汇嘉精选混合C在2020年Q4的季报中，该基金的第3大重仓股的代码是什么?,华安汇嘉精选混合C在2020年Q4的季报中，该基金的第3大重仓股的代码是601012。
246,388,20210618日，一级行业为基础化工的股票的成交量合计是多少？取整。,抱歉，我无法回答这个问题，因为我无法获取实时股票数据。
247,390,请查询在2021年度，688728股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2021年度，688728股票涨停的天数为2天。
248,391,请帮我查询出20210506日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,抱歉，由于存在模糊的列名“股票代码”，无法为您提供完整的答案句。请提供清晰的列名或者进一步的信息，以便我能够为您提供准确的答案。
249,392,"我想了解易方达稳健收益债券C基金,在2021年二季度的季报第5大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",易方达稳健收益债券C基金在2021年二季度的季报中，持有铁建重工股票，但未公布该股票当个季度的涨跌幅。
250,393,我想知道兴全安泰平衡养老目标三年持有期混合(FOF)A基金在20190331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,兴全安泰平衡养老目标三年持有期混合(FOF)A基金在20190331的季报中，其可转债持仓占比最大的行业是银行。
251,394,我想知道东方红品质优选两年定期开放混合基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年半年度报告中，东方红品质优选两年定期开放混合基金的前10大重仓股中，没有一只股票在报告期内取得正收益。
