,id,question
0,0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。
1,2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。
2,3,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停
3,4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。
4,5,嘉实基金管理有限公司2019年成立了多少基金?
5,7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。
6,8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？"
7,9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）
8,11,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。
9,12,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?
10,14,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。
11,18,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?
12,19,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？"
13,20,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？
14,22,我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。
15,23,帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。
16,25,请帮我查询出20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量。
17,26,请查询：在20190118，属于申万二级银行行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。
18,28,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。
19,29,我想知道圆信永丰高端制造混合基金，在2020年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。
20,30,在2019年的中期报告里，金鹰基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。
21,31,在2019年12月季报中，持有大亚圣象这一股票且市值占基金资产净值比不小于5%的有几只基金？
22,32,我想知道在2019年，金信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？
23,35,请查询在2019年度，603789股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停
24,36,请查询在2020年度，600076股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停
25,38,"我想了解一下红土创新基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。"
26,42,"我想了解博时研究优选灵活配置混合(LOF)A基金,在2021年四季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。"
27,43,我想知道富兰克林国海大中华精选混合(QDII)(美元现汇)在2021年Q2的季报中，该基金的第1大重仓股的代码是什么?
28,48,20191231日，宋城演艺在多少只基金的前七大重仓股中？
29,52,在20190211，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？
30,53,帮我查一下在2019年，代码为603199的A股股票今开盘高于昨收盘的天数？
31,54,帮我查一下鹏扬景科混合A基金在20201126的资产净值和单位净值是多少?
32,55,请问股票代码为301005的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？
33,56,我想知道股票000637在申万行业分类下的二级行业是什么？用最新的数据。
34,57,请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。
35,58,帮我查一下在2020年，代码为002868的A股股票今开盘高于昨收盘的天数？
36,61,请查询：在20191129，属于申万二级仪器仪表行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。
37,62,易方达基金管理有限公司2019年成立了多少基金?
38,63,嘉实基金管理有限公司管理的债券型产品的数量有多少?
39,64,我想知道股票002720在申万行业分类下的二级行业是什么？用最新的数据。
40,65,请帮我查询在截止2021-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？
41,66,我想知道股票600508在申万行业分类下的二级行业是什么？用最新的数据。
42,68,我想知道2020年的年度报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。
43,70,博时基金管理有限公司管理的股票型产品的数量有多少?
44,71,20211207日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出
45,74,请帮我查询下股票代码为300873的股票在2021年内最高日收盘价是多少？
46,75,请帮我计算，代码为000798的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。
47,76,"在20210630的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?"
48,77,请查询：在20190510，属于申万二级餐饮行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。
49,79,"请帮我查询下在2020年, 农银汇理基金管理有限公司管理的债券型基金中，持有过同业存单的基金有多少只？"
50,80,在2021年12月年报(含半年报)中，惠升惠民混合A基金持有市值最多的前10只股票中，所在证券市场是中国香港证券交易所的有几个？
