,id,question,formatted_answer
0,0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。抱歉，我不知道答案。
1,2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,根据查询结果，20210415日建筑材料一级行业涨幅超过5%（不包含）的股票数量为6只。
2,3,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"在2021年度，688338股票的涨停天数为多少？
解释：当(收盘价/昨日收盘价-1)》=9.8%时视作涨停。
抱歉，数据有误，无法回答该问题。"
3,4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,2021年3月4日，一级行业为非银金融的股票的成交量合计是0股。
4,5,嘉实基金管理有限公司2019年成立了多少基金?,嘉实基金管理有限公司在2019年没有成立任何基金。
5,7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,很抱歉，由于我的训练数据截止于2021年6月，因此无法提供2021年三季度的基金净赎回情况。如果您有其他关于基金的问题，我会尽力回答。
6,8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",在20190605日，中信行业分类中一级行业为石油石化行业的所有股票里，成交金额最多的股票的代码是002206，成交金额为...（此处需要提供具体的成交金额数据）。
7,9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,该股票的收盘价在2019年12月20日是12.585元。
8,11,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,很抱歉，给出的答案中只有数字0和None，没有说明具体的基金数量和净申购份额。请提供更详细的信息以便我能正确回答您的问题。
9,12,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?,湘财长弘灵活配置混合A基金在2021年4月19日的资产净值为423634742.28元，单位净值为1.747元。
10,14,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,很抱歉，根据我所掌握的信息，无法回答该问题。可能需要查询其他来源以获得更准确的答案。
11,18,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,很抱歉，由于我是一个AI语言模型，我的记忆仅限于训练数据中的信息。根据我目前的知识库，我不知道“2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?”这个问题的答案。如果您有其他问题，我会尽力回答它们，但我无法提供关于这个特定问题的更多信息。
12,19,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？","很抱歉，给出的答案句中存在错误。正确的回答应该是：

假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为601XXX的银行股的日均收益率最高？"
13,20,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,在2020年10月22日，按照中信行业分类的行业划分标准，信息技术行业的A股公司数量最多。
14,22,我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,根据招商安润灵活配置混合A基金的2021年半年报告，该基金的前10大重仓股中，没有股票在报告期内取得正收益。
15,23,帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。,在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值为C.股票代码。
16,25,请帮我查询出20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量。,"很抱歉，给出的答案句中存在语法错误。正确的答案句应该是：

请帮我查询出20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量。"
17,26,请查询：在20190118，属于申万二级银行行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"根据申万二级行业分类，在20190118这一天，A股银行股板块的平均成交金额为147,367,928.29元。"
18,27,中国铁路通信信号股份有限公司的主要经营模式是怎样的？,很抱歉，根据提供的信息，无法直接查询到中国铁路通信信号股份有限公司的主要经营模式。建议提供更多上下文信息以便更准确地回答您的问题。
19,28,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,根据2021年的年度报告，个人投资者持有基金份额大于机构投资者持有基金份额的基金数量为0个。
