,id,question,company,answer
0,1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,湖南长远锂科股份有限公司,"湖南长远锂科有限公司,五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金、建信投资、信石信远、华能融科、中信投资、三峡金石、伊敦基金、中启洞鉴"
1,6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,云南沃森生物技术股份有限公司,负责产品研发的部门是研发中心。
2,10,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的多少股份？占公司总股份的多少？,大连派思燃气系统股份有限公司,本次发行前，控股股东派思投资持有公司的股份比例为56.24%，占总股本的比例为56.24%。
3,13,近三年，广东银禧科技股份有限公司总资产周转率分别为多少？,广东银禧科技股份有限公司,近三年，公司总资产周转率分别为1.84次、1.50次和1.56次。
4,15,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有哪些较强的竞争优势？,云南沃森生物技术股份有限公司,沃森生物冻干A、C群脑膜炎球菌多糖结合疫苗在內毒素含量、游离多糖含量、多糖含量、免疫原性、异常毒性等关键指标方面高于欧洲药典标准，质量标准的提高保证了本公司冻干A、C群脑膜炎球菌多糖结合疫苗的高安全性和高有效性。此外，该产品具有较强的专利技术基础，并且在临床研究中表现出了优越性。
5,16,根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率是多少？,联化科技股份有限公司,51.52%
6,17,各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为多少万元？占流动资产的比例分别多少？,江苏旷达汽车织物集团股份有限公司,"各报告期末，存货分别为 9,832.60万元、8,576.59万元、6,647.27万元和4,924.58万元，占流动资产的比例分别为21.14%、17.02%、20.32%和14.15%。"
7,21,华瑞电器股份有限公司获得多少项国内专利？其中有多上项发明专利？,华瑞电器股份有限公司,"根据给定材料，获得的国内专利共有4项，其中有3项是发明专利。"
8,24,深圳信立泰药业股份有限公司注射用头孢西丁钠（信希汀、1.0克装）在2006 年、2007 年、2008 年、2009 年1-6 月的最高零售价格分别为多少？,深圳信立泰药业股份有限公司,注射用头孢西丁钠（信希汀、1.0克装）在2006年、2007年、2008年、2009年1-6月的最高零售价格分别为42.20元/盒、42.20元/盒、42.20元/盒和42.20元/盒
9,27,中国铁路通信信号股份有限公司的主要经营模式是怎样的？,中国铁路通信信号股份有限公司,公司主要从事轨道交通控制系统全产业链服务，包括提供轨道交通控制系统的设计、研发、生产、销售、安装、调试和售后服务等。此外，公司还提供工程总承包、咨询、培训等其他服务。公司实行两级经营管理模式，即公司总部及各下属企业对其执行的项目分别负责。公司总部负责制定公司整体战略规划、统筹组织和协调下属企业的经营活动、进行重大决策，并不断完善公司的经营管理制度，同时也是重大项目的管理实施主体；而公司下属子公司则负责制定本企业的经营管理制度，制定年度经营规划及目标等，同时也是其自揽项目的管理经营主体。公司存在发包及分包的业务，但不存在向外购系统的情况。同时，公司也存在采购工程系统的情况，主要包括通信系统及个别信号系统。
