,id,question,formatted_answer
309,477,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。,在2019年的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的混合型基金共有X个。
310,478,在2019年的年度报告里，中泰证券(上海)资产管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,根据查询结果显示，在2019年的年度报告里，中泰证券(上海)资产管理有限公司管理的基金中，没有基金是个人投资者持有的份额超过机构投资者的。
311,479,请问在休闲服务行业，20211031行业的A股公司有多少?,在休闲服务行业，20211031行业的A股公司有41家。
312,480,请查询：在20200518，属于申万二级景点行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20200518，属于申万二级景点行业的A股股票的平均成交金额是29062247.36364。
313,481,20191226日，请给出民生加银聚益纯债债券基金的管理人和累计单位净值。,20191226日，民生加银聚益纯债债券基金的管理人为民生加银基金管理有限公司，累计单位净值为X。
314,482,根据招股意见书，截至评估基准日1996年1月31日止，孙瑞良对宁波华瑞出资的资产市场价值为多少？,"根据招股意见书，截至评估基准日1996年1月31日止，孙瑞良对宁波华瑞出资的资产市场价值为1,200万元人民币。"
315,483,请帮我查询在截止2021-03-31的报告期间，基金总份额降低的基金数量是多少？,在截止2021-03-31的报告期间，基金总份额降低的基金数量是0。
316,485,请查询在20201123日期，申万行业分类下食品饮料一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20201123日期，申万行业分类下食品饮料一级行业中，当日收盘价波动最大的股票代码是600866。
317,487,请问在有色金属行业，20191121行业的A股公司有多少?,有色金属行业在20191121有265家A股公司。
318,488,20200302日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,当天没有股票的开盘价较上一交易日最高价高。
319,490,20210531日，请给出易方达恒利3个月定期开放债券基金的管理人和累计单位净值。,易方达恒利3个月定期开放债券基金的管理人是1.0546。
320,492,长江安盈中短债六个月定期开放债券基金在20201231的季报里，前三大持仓占比的债券名称是什么?,长江安盈中短债六个月定期开放债券基金在20201231的季报里，前三大持仓占比的债券名称分别为国家开发银行2020年第三期金融债券、中国进出口银行2020年第一期金融债券和中国农业发展银行2020年第一期金融债券。
321,493,请帮我查询出20210825日，有色金属一级行业涨幅超过5%（不包含）的股票数量。,根据查询结果显示，在2019年的年度报告里，中泰证券(上海)资产管理有限公司管理的基金中，没有基金是个人投资者持有的份额超过机构投资者的。
